"","diploid","triploid","tetraploid","sample"
"original...191",NA,1,NA,"L41-A_4-RG"
"bootstrap.replicates...192",2,98,NA,"L41-A_4-RG"
"original...193",NA,1,NA,"L45-A_2-RG"
"bootstrap.replicates...194",14,86,NA,"L45-A_2-RG"
"original...195",NA,1,NA,"L45-A_3-RG"
"bootstrap.replicates...196",NA,100,NA,"L45-A_3-RG"
"original...197",NA,1,NA,"L45-A_4-RG"
"bootstrap.replicates...198",NA,100,NA,"L45-A_4-RG"
"original...199",NA,1,NA,"L45-A_5-RG"
"bootstrap.replicates...200",NA,100,NA,"L45-A_5-RG"
"original...201",1,NA,NA,"L45-S_1-RG"
"bootstrap.replicates...202",100,NA,NA,"L45-S_1-RG"
"original...203",NA,1,NA,"L62-A_5-RG"
"bootstrap.replicates...204",NA,100,NA,"L62-A_5-RG"
"original...205",1,NA,NA,"L62-S_1-RG"
"bootstrap.replicates...206",100,NA,NA,"L62-S_1-RG"
"original...207",1,NA,NA,"L62-S_2-RG"
"bootstrap.replicates...208",100,NA,NA,"L62-S_2-RG"
"original...209",1,NA,NA,"L62-S_3-RG"
"bootstrap.replicates...210",100,NA,NA,"L62-S_3-RG"
"original...211",1,NA,NA,"L62-S_4-RG"
"bootstrap.replicates...212",100,NA,NA,"L62-S_4-RG"
"original...213",NA,NA,1,"S03-A_1-RG"
"bootstrap.replicates...214",NA,NA,100,"S03-A_1-RG"
"original...215",NA,NA,1,"S03-A_2-RG"
"bootstrap.replicates...216",NA,NA,100,"S03-A_2-RG"
"original...217",NA,NA,1,"S03-A_3-RG"
"bootstrap.replicates...218",NA,NA,100,"S03-A_3-RG"
"original...219",NA,NA,1,"S03-A_4-RG"
"bootstrap.replicates...220",NA,NA,100,"S03-A_4-RG"
"original...221",NA,NA,1,"SM-A_1-RG"
"bootstrap.replicates...222",NA,NA,100,"SM-A_1-RG"
"original...223",NA,NA,1,"SM-A_2-RG"
"bootstrap.replicates...224",1,NA,99,"SM-A_2-RG"
"original...225",NA,NA,1,"SM-A_3-RG"
"bootstrap.replicates...226",5,NA,95,"SM-A_3-RG"
"original...227",NA,NA,1,"SM-A_4-RG"
"bootstrap.replicates...228",NA,NA,100,"SM-A_4-RG"
"original...229",NA,NA,1,"SM-A_5-RG"
"bootstrap.replicates...230",7,NA,93,"SM-A_5-RG"
