stat,sample_name,diploid,triploid,tetraploid,assumed_ploidy,match
bootstrap,L17-A_1,4,96,NA,3,yes
original,L17-A_1,NA,1,NA,3,yes
bootstrap,L17-A_2,89,11,NA,3,no
original,L17-A_2,1,NA,NA,3,no
bootstrap,L17-A_3,NA,100,NA,3,yes
original,L17-A_3,NA,1,NA,3,yes
bootstrap,L17-A_4,62,38,NA,3,no
original,L17-A_4,1,NA,NA,3,no
bootstrap,L17-A_5,NA,100,NA,3,yes
original,L17-A_5,NA,1,NA,3,yes
bootstrap,L39-A_1,7,93,NA,3,yes
original,L39-A_1,NA,1,NA,3,yes
bootstrap,L39-A_2,NA,100,NA,3,yes
original,L39-A_2,NA,1,NA,3,yes
original,L39-A_3,NA,1,NA,3,yes
bootstrap,L39-A_3,NA,100,NA,3,yes
original,L39-A_4,NA,1,NA,3,yes
bootstrap,L39-A_4,NA,100,NA,3,yes
original,L39-A_5,NA,1,NA,3,yes
bootstrap,L39-A_5,NA,100,NA,3,yes
original,L41-A_1,1,NA,NA,3,no
bootstrap,L41-A_1,57,43,NA,3,no
original,L41-A_2,NA,1,NA,3,yes
bootstrap,L41-A_2,4,96,NA,3,yes
original,L41-A_3,NA,1,NA,3,yes
bootstrap,L41-A_3,NA,100,NA,3,yes
original,L41-A_4,NA,1,NA,3,yes
bootstrap,L41-A_4,2,98,NA,3,yes
original,L45-A_2,NA,1,NA,3,yes
bootstrap,L45-A_2,14,86,NA,3,yes
original,L45-A_3,NA,1,NA,3,yes
bootstrap,L45-A_3,NA,100,NA,3,yes
original,L45-A_4,NA,1,NA,3,yes
bootstrap,L45-A_4,NA,100,NA,3,yes
original,L45-A_5,NA,1,NA,3,yes
bootstrap,L45-A_5,NA,100,NA,3,yes
original,L45-S_1,1,NA,NA,2,yes
bootstrap,L45-S_1,100,NA,NA,2,yes
original,L62-A_5,NA,1,NA,3,yes
bootstrap,L62-A_5,NA,100,NA,3,yes
original,L62-S_1,1,NA,NA,2,yes
bootstrap,L62-S_1,100,NA,NA,2,yes
bootstrap,L62-S_2,100,NA,NA,2,yes
original,L62-S_2,1,NA,NA,2,yes
bootstrap,L62-S_3,100,NA,NA,2,yes
original,L62-S_3,1,NA,NA,2,yes
bootstrap,L62-S_4,100,NA,NA,2,yes
original,L62-S_4,1,NA,NA,2,yes
bootstrap,S03-A_1,NA,NA,100,3,no
original,S03-A_1,NA,NA,1,3,no
bootstrap,S03-A_2,NA,NA,100,3,no
original,S03-A_2,NA,NA,1,3,no
bootstrap,S03-A_3,NA,NA,100,3,no
original,S03-A_3,NA,NA,1,3,no
original,S03-A_4,NA,NA,1,3,no
bootstrap,S03-A_4,NA,NA,100,3,no
original,SM-A_1,NA,NA,1,4,no
bootstrap,SM-A_1,NA,NA,100,4,no
bootstrap,SM-A_2,1,NA,99,4,no
original,SM-A_2,NA,NA,1,4,no
bootstrap,SM-A_3,5,NA,95,4,no
original,SM-A_3,NA,NA,1,4,no
bootstrap,SM-A_4,NA,NA,100,4,no
original,SM-A_4,NA,NA,1,4,no
bootstrap,SM-A_5,7,NA,93,4,no
original,SM-A_5,NA,NA,1,4,no
