stat,sample_name,diploid,triploid,tetraploid,assumed_ploidy,match,AB_plot,wrong
bootstrap,C85-A_5,4,96,NA,3,yes,,no
bootstrap,C86-A_1,NA,100,NA,3,yes,,no
bootstrap,C86-A_2,NA,100,NA,3,yes,,no
bootstrap,C86-A_3,5,95,NA,3,yes,,no
bootstrap,C86-A_4,NA,100,NA,3,yes,,no
bootstrap,C86-A_5,NA,100,NA,3,yes,,no
bootstrap,C87-A_2,NA,100,NA,3,yes,,no
bootstrap,C87-A_3,NA,100,NA,3,yes,,no
bootstrap,C87-A_4,1,99,NA,3,yes,,no
bootstrap,C87-A_5,4,96,NA,3,yes,,no
bootstrap,C88-A_1,NA,100,NA,3,yes,,no
bootstrap,C88-A_3,4,96,NA,3,yes,,no
bootstrap,C88-A_4,NA,100,NA,3,yes,,no
bootstrap,C88-A_5,6,94,NA,3,yes,,no
bootstrap,L05-S_1,100,NA,NA,2,yes,,no
bootstrap,L05-S_2,100,NA,NA,2,yes,,no
bootstrap,L05-S_3,100,NA,NA,2,yes,,no
bootstrap,L06-A_1,7,93,NA,3,yes,,no
bootstrap,L06-A_2,NA,100,NA,3,yes,,no
bootstrap,L06-A_3,2,98,NA,3,yes,,no
bootstrap,L06-A_5,NA,100,NA,3,yes,,no
bootstrap,L08-S_1,100,NA,NA,2,yes,,no
bootstrap,L08-S_2,100,NA,NA,2,yes,,no
bootstrap,L08-S_3,100,NA,NA,2,yes,,no
bootstrap,L10-S_1,100,NA,NA,2,yes,,no
bootstrap,L10-S_2,100,NA,NA,2,yes,,no
bootstrap,L10-S_3,100,NA,NA,2,yes,,no
bootstrap,L11-S_1,100,NA,NA,2,yes,,no
bootstrap,L11-S_2,100,NA,NA,2,yes,,no
bootstrap,L11-S_3,100,NA,NA,2,yes,,no
bootstrap,L12-S_1,100,NA,NA,2,yes,,no
bootstrap,L12-S_2,100,NA,NA,2,yes,,no
bootstrap,L12-S_3,100,NA,NA,2,yes,,no
bootstrap,L13-S_1,100,NA,NA,2,yes,,no
bootstrap,L13-S_2,100,NA,NA,2,yes,,no
bootstrap,L13-S_3,100,NA,NA,2,yes,,no
bootstrap,L16-A_2,5,95,NA,3,yes,,no
bootstrap,L16-A_3,1,99,NA,3,yes,,no
bootstrap,L16-A_5,NA,100,NA,3,yes,,no
bootstrap,L17-A_1,4,96,NA,3,yes,,no
bootstrap,L17-A_3,NA,100,NA,3,yes,,no
bootstrap,L17-A_5,NA,100,NA,3,yes,,no
bootstrap,L39-A_1,7,93,NA,3,yes,,no
bootstrap,L39-A_2,NA,100,NA,3,yes,,no
bootstrap,L39-A_3,NA,100,NA,3,yes,,no
bootstrap,L39-A_4,NA,100,NA,3,yes,,no
bootstrap,L39-A_5,NA,100,NA,3,yes,,no
bootstrap,L41-A_2,4,96,NA,3,yes,,no
bootstrap,L41-A_3,NA,100,NA,3,yes,,no
bootstrap,L41-A_4,2,98,NA,3,yes,,no
bootstrap,L45-A_2,14,86,NA,3,yes,,no
bootstrap,L45-A_3,NA,100,NA,3,yes,,no
bootstrap,L45-A_4,NA,100,NA,3,yes,,no
bootstrap,L45-A_5,NA,100,NA,3,yes,,no
bootstrap,L45-S_1,100,NA,NA,2,yes,,no
bootstrap,L62-A_5,NA,100,NA,3,yes,,no
bootstrap,L62-S_1,100,NA,NA,2,yes,,no
bootstrap,L62-S_2,100,NA,NA,2,yes,,no
bootstrap,L62-S_3,100,NA,NA,2,yes,,no
bootstrap,L62-S_4,100,NA,NA,2,yes,,no
